NOAA ERSSTv5 data: https://www.esrl.noaa.gov/psd/data/gridded/data.noaa.ersst.v5.html
MON/MMM    : month for Nino34 values, 3-month season centered on that month for ONI
NINO34_MEAN: monthly average SST (°C) in Nino3.4 region (5S-5N,190E-240E)
NINO34_CLIM: climatological 30-year monthly average SST, updated every 5 years
NINO34_ANOM: difference between the monthly mean and the climatological value
ONI        : 3-month average anomaly (°C) centered on given month (01=DJF,08=JAS,etc)
PHASE      : flags ONI value as Missing (M), El Nino (E), Neutral (N), La Nina (L)
Data table generated by Brian McNoldy, University of Miami (bmcnoldy@miami.edu)

YEAR  MON/MMM  NINO34_MEAN  NINO34_CLIM  NINO34_ANOM          ONI  PHASE
1854       01        25.90       -99.99       -99.99       -99.99      M
1854       02        26.06       -99.99       -99.99       -99.99      M
1854       03        26.91       -99.99       -99.99       -99.99      M
1854       04        27.63       -99.99       -99.99       -99.99      M
1854       05        27.90       -99.99       -99.99       -99.99      M
1854       06        27.23       -99.99       -99.99       -99.99      M
1854       07        26.88       -99.99       -99.99       -99.99      M
1854       08        25.81       -99.99       -99.99       -99.99      M
1854       09        26.11       -99.99       -99.99       -99.99      M
1854       10        25.43       -99.99       -99.99       -99.99      M
1854       11        25.39       -99.99       -99.99       -99.99      M
1854       12        25.12       -99.99       -99.99       -99.99      M
1855       01        25.94       -99.99       -99.99       -99.99      M
1855       02        26.95       -99.99       -99.99       -99.99      M
1855       03        27.16       -99.99       -99.99       -99.99      M
1855       04        27.64       -99.99       -99.99       -99.99      M
1855       05        27.73       -99.99       -99.99       -99.99      M
1855       06        27.16       -99.99       -99.99       -99.99      M
1855       07        26.78       -99.99       -99.99       -99.99      M
1855       08        26.49       -99.99       -99.99       -99.99      M
1855       09        27.50       -99.99       -99.99       -99.99      M
1855       10        27.36       -99.99       -99.99       -99.99      M
1855       11        27.80       -99.99       -99.99       -99.99      M
1855       12        27.68       -99.99       -99.99       -99.99      M
1856       01        27.22       -99.99       -99.99       -99.99      M
